Date,Open,High,Low,Close,Volume
01/21/2020 22:10,316.58,316.58,316.58,316.58,3
01/21/2020 22:11,316.58,316.58,316.58,316.58,99
01/21/2020 22:12,316.58,316.58,316.58,316.58,25
01/21/2020 22:13,316.58,316.65,316.58,316.62,513
01/21/2020 22:14,316.62,316.64,316.62,316.63,1811
01/21/2020 22:15,316.63,316.63,316.63,316.63,338
01/21/2020 22:16,316.63,316.63,316.62,316.62,109
01/21/2020 22:17,316.62,316.62,316.62,316.62,12
01/21/2020 22:18,316.62,316.62,316.62,316.62,8
01/21/2020 22:19,316.62,316.62,316.62,316.62,5409
01/21/2020 22:20,316.62,316.62,316.62,316.62,112
01/21/2020 22:21,316.62,316.62,316.62,316.62,6
01/21/2020 22:22,316.62,316.62,316.62,316.62,109
01/21/2020 22:23,316.62,316.62,316.62,316.62,131
01/21/2020 22:24,316.62,316.65,316.62,316.65,179
01/21/2020 22:25,316.65,316.65,316.65,316.65,4
01/21/2020 22:26,316.65,316.65,316.65,316.65,213
01/21/2020 22:27,316.65,316.65,316.6,316.6,1138
01/21/2020 22:28,316.6,316.6,316.55,316.55,1651
01/21/2020 22:29,316.55,316.55,316.55,316.55,40588
01/21/2020 22:30,316.55,316.7,316.55,316.7,1046
01/21/2020 22:31,316.69,316.7,316.69,316.7,304
01/21/2020 22:32,316.7,316.7,316.6,316.6,159
01/21/2020 22:33,316.6,316.62,316.6,316.6001,553
01/21/2020 22:34,316.6001,316.61,316.6,316.6,489
01/21/2020 22:35,316.6,316.6,316.6,316.6,35
01/21/2020 22:36,316.6,316.6,316.6,316.6,131
01/21/2020 22:37,316.65,316.65,316.65,316.65,126
01/21/2020 22:38,316.65,316.65,316.65,316.65,79
01/21/2020 22:39,316.65,316.65,316.65,316.65,84
01/21/2020 22:40,316.65,316.65,316.65,316.65,207
01/21/2020 22:41,316.65,316.65,316.65,316.65,28
01/21/2020 22:42,316.65,316.65,316.65,316.65,28
01/21/2020 22:43,316.65,316.69,316.65,316.69,667
01/21/2020 22:44,316.69,316.69,316.69,316.69,71
01/21/2020 22:45,316.69,316.69,316.61,316.61,130
01/21/2020 22:46,316.61,316.67,316.61,316.61,1265
01/21/2020 22:47,316.61,316.61,316.61,316.61,311
01/21/2020 22:48,316.61,316.61,316.61,316.61,101
01/21/2020 22:49,316.61,316.61,316.61,316.61,71
01/21/2020 22:50,316.61,316.61,316.61,316.61,13
01/21/2020 22:51,316.61,316.61,316.6,316.6,345
01/21/2020 22:52,316.6,316.6,316.6,316.6,282
01/21/2020 22:53,316.6,316.64,316.6,316.64,1068
01/21/2020 22:54,316.64,316.67,316.64,316.67,111
01/21/2020 22:55,316.67,316.67,316.58,316.58,1021
01/21/2020 22:56,316.58,316.59,316.5,316.5,1904
01/21/2020 22:57,316.5,316.5,316.5,316.5,104
01/21/2020 22:58,316.5,316.5,316.5,316.5,39
01/21/2020 22:59,316.5,316.5,316.5,316.5,57
01/21/2020 23:01,316.5,316.5,316.5,316.5,11
01/21/2020 23:02,316.65,316.65,316.65,316.65,100
01/21/2020 23:03,316.65,316.65,316.65,316.65,25
01/21/2020 23:04,316.65,316.65,316.65,316.65,0
01/21/2020 23:05,316.65,316.65,316.65,316.65,134
01/21/2020 23:06,316.65,316.65,316.65,316.65,60
01/21/2020 23:08,316.65,316.65,316.65,316.65,198
01/21/2020 23:10,316.65,316.65,316.65,316.65,5
01/21/2020 23:11,316.65,316.65,316.57,316.62,750
01/21/2020 23:12,316.5455,316.62,316.53,316.62,481
01/21/2020 23:13,316.62,316.62,316.62,316.62,62
01/21/2020 23:14,316.62,316.62,316.62,316.62,141
01/21/2020 23:15,316.64,316.64,316.64,316.64,100
01/21/2020 23:16,316.64,316.64,316.64,316.64,50
01/21/2020 23:17,316.64,316.64,316.64,316.64,35
01/21/2020 23:19,316.64,316.64,316.64,316.64,50
01/21/2020 23:21,316.64,316.64,316.64,316.64,3
01/21/2020 23:22,316.65,316.65,316.65,316.65,115
01/21/2020 23:23,316.65,316.65,316.65,316.65,20
01/21/2020 23:25,316.65,316.65,316.65,316.65,28
01/21/2020 23:26,316.65,316.65,316.65,316.65,10
01/21/2020 23:27,316.65,316.65,316.65,316.65,7
01/21/2020 23:28,316.65,316.65,316.65,316.65,45
01/21/2020 23:29,316.65,316.65,316.65,316.65,81
01/21/2020 23:30,316.65,316.65,316.65,316.65,43
01/21/2020 23:31,316.65,316.65,316.65,316.65,10
01/21/2020 23:32,316.65,316.65,316.6399,316.6399,673
01/21/2020 23:33,316.6399,316.6399,316.6,316.6,693
01/21/2020 23:34,316.6,316.6,316.6,316.6,68
01/21/2020 23:35,316.6,316.6,316.6,316.6,75
01/21/2020 23:36,316.6,316.6,316.6,316.6,5
01/21/2020 23:37,316.6,316.6,316.6,316.6,0
01/21/2020 23:38,316.6,316.6,316.6,316.6,100
01/21/2020 23:40,316.6,316.6,316.6,316.6,50
01/21/2020 23:41,316.6,316.6,316.6,316.6,66
01/21/2020 23:42,316.6,316.6,316.6,316.6,0
01/21/2020 23:43,316.6,316.6,316.6,316.6,50
01/21/2020 23:45,316.6,316.6,316.6,316.6,0
01/21/2020 23:46,316.6,316.6,316.6,316.6,51
01/21/2020 23:47,316.64,316.64,316.64,316.64,315
01/21/2020 23:48,316.64,316.64,316.64,316.64,100
01/21/2020 23:49,316.64,316.65,316.64,316.65,492
01/21/2020 23:50,316.65,316.7,316.65,316.7,704
01/21/2020 23:51,316.7,316.7,316.69,316.7,4248
01/21/2020 23:52,316.7,317.02,316.65,317.02,3512
01/21/2020 23:53,317.02,317.02,317.02,317.02,1
01/21/2020 23:54,317.02,317.18,317.02,317.15,1055
01/21/2020 23:55,317.11,317.11,317.01,317.01,542
01/21/2020 23:56,317.01,317.02,317.01,317.02,100
01/21/2020 23:57,317.02,317.14,317.02,317.14,547
01/21/2020 23:58,317.14,317.23,317.14,317.18,1718
01/21/2020 23:59,317.18,317.18,317.15,317.15,1314
01/22/2020 00:00,317.15,317.15,317.15,317.15,16
01/22/2020 00:01,317.15,317.2,317.15,317.2,100
01/22/2020 00:02,317.2,317.2,317.2,317.2,288
01/22/2020 00:04,317.2,317.2,317.2,317.2,362
01/22/2020 00:05,317.2,317.2,317.1,317.1,1435
01/22/2020 00:06,317.1,317.1,317.1,317.1,189
01/22/2020 00:07,317.1,317.1,317.1,317.1,0
01/22/2020 00:08,317.1,317.1,317,317,600
01/22/2020 00:09,317,317,317,317,5
01/22/2020 00:10,317,317,317,317,65
01/22/2020 00:11,317,317,317,317,50
